Group Code,Group Title,Code,Title
M111B,Grains and other crop products,MPG111A01,Canola
,,MPG111A02,Oilseeds (except canola)
,,MPG111A03,Wheat
,,MPG111A04,Grains (except wheat)
,,MPG111A05,Potatoes
,,MPG111A10,Fruits and tree nuts
,,MPG111A11,Other crop products
,,MPG111A08,Vegetables (except potatoes)
M112A,Live animals,MPG112001,Cattle and calves
,,MPG112003,Hogs
,,MPG112005,Live poultry
,,MPG112006,Other miscellaneous live animals
M11D0,Other farm products,IMG111A09,Imputed feed (animal feed produced for own consumption)
,,MPG111400,Nursery and floriculture products
,,MPG112002,Unprocessed fluid milk
,,MPG112004,Eggs in shell
,,MPG112007,Raw furskins; animal production not elsewhere classified
,,IMG112008,Imputed fertilizer (fertilizer produced for own consumption)
M11E0,Forestry products and services,MPG113001,Logs
,,MPG113002,Pulpwood
,,ENE113003,Fuel wood
,,MPG113004,"Rough untreated poles, posts and piling"
,,MPS11X000,"Custom work, agriculture, forestry, fishing and hunting services"
,,ENE32A000,"Solid fuel products, n.e.c. (x 1,000)"
M1140,"Fish, crustaceans, shellfish and other fishery products",MPG114000,"Fish and seafood, live, fresh, chilled or frozen"
M1150,Support services related to farming and forestry,MPS115A01,Support services for crop production
,,MPS115A02,"Support services for animal production, hunting and fishing"
,,MPS115300,Support services for forestry
M21B0,Mineral fuels,ENE211101,Conventional and synthetic crude oil
,,ENE211102,Natural gas
,,ENE211103,Natural gas liquids and related products
,,ENE211104,Crude and diluted bitumen
,,ENE212100,Coal
,,ENE211105,"Conventional crude oil (x 1,000)"
,,ENE211106,"Synthetic crude oil (x 1,000)"
M2122,Metal ores and concentrates,MPG212210,Iron ores and concentrates
,,MPG212220,Gold and silver ores and concentrates
,,MPG212230,"Copper, nickel, lead and zinc ores and concentrates"
,,MPG212230,"Copper, nickel, lead and zinc ores and concentrates"
,,MPG212230,"Copper, nickel, lead and zinc ores and concentrates"
,,MPG212290,Radioactive and other metal ores and concentrates
,,MPG212290,Radioactive and other metal ores and concentrates
,,MPG212231,"Copper ores and concentrates (x 1,000)"
,,MPG212233,"Lead and zinc ores and concentrates (x 1,000)"
,,MPG212299,"Other metal ores and concentrates (x 1,000)"
,,MPG212291,"Radioactive ores and concentrates (x 1,000)"
,,MPG212232,"Nickel ores and concentrates (x 1,000)"
M2123,Non-metallic minerals,MPG212310,Stone
,,MPG212320,"Sand, gravel, clay, and refractory minerals"
,,MPG212392,Uncut diamonds
,,MPG212396,Potash
,,MPG21239C,Non-metallic minerals (except diamonds)
M2130,Mineral support services,MPS21311A,Support services for oil and gas extraction (except exploration)
,,MPS21311B,Support services for mining and quarrying (except exploration)
M21A0,Mineral and oil and gas exploration,MPS21A000,Mineral and oil and gas exploration
M2200,Utilities,ENE221100,Electricity
,,MPS221200,Natural gas distribution
,,MPS221301,Water delivered by water works and irrigation systems
,,MPS221302,Sewage and dirty water disposal and cleaning services
,,ENE221303,Steam and heated or cooled air supply services
M23A0,Residential construction,MPG23A000,Residential construction
M23B0,Non-residential buildings,MPG23B001,Industrial buildings
,,MPG23B002,Office buildings
,,MPG23B003,"Shopping centers, plazas, malls and stores"
,,MPG23B004,Other commercial buildings
,,MPG23B005,"Schools, colleges, universities and other educational buildings"
,,MPG23B006,"Hospitals, health centres, clinics, nursing homes and other health care buildings"
,,MPG23B007,Other institutional buildings
M23C0,Engineering construction,MPG23C101,"Highway, roads, streets, bridges and overpasses"
,,MPG23C109,Other transportation construction
,,MPG23C201,Oil and gas production facilities
,,MPG23C209,Other oil and gas engineering construction
,,MPG23C300,Electric power engineering construction
,,MPG23C400,Communication engineering construction
,,MPG23C501,Marine engineering construction
,,MPG23C502,Waterworks engineering construction
,,MPG23C503,Sewage engineering construction
,,MPG23C504,Mining engineering construction
,,MPG23C509,Other engineering construction
M23D0,Repair construction services,MPS23D000,Repair construction services
M31C0,Food and non-alcoholic beverages,MPG311101,Dog and cat food products
,,MPG311109,Other animal feed
,,MPG311204,Flour and other grain mill products
,,MPG311202,Margarine and cooking oils
,,MPG311203,Breakfast cereal and other cereal products
,,MPG311208,"Grain and oilseed products, not elsewhere classified"
,,MPG311301,Sugar and sugar mill by-products
,,MPG311302,Chocolate (except confectionery)
,,MPG311303,Confectionery products
,,MPG311401,Fruit and vegetable juices (including frozen concentrated)
,,MPG311402,Preserved fruit and vegetables and frozen foods
,,MPG311501,Fluid milk and processed milk products (except frozen)
