geography,var,code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,output-3810031,327A,4429.5,4759.7,4719.8,5152.8,5369.2,5653.3,5946.5,5934.2,5854.9,5894.5,6074.9,5606.7,4903.2,5041.7,5003.1,5145.2,5469.8,5851.3,6052.6
Newfoundland and Labrador,output-3810031,327A,7.1,13.6,10.6,17,18.5,21,23,25.7,24.9,25.9,14.3,8.8,9.7,8.1,9.3,11,4.9,4.9,4.5
Prince Edward Island,output-3810031,327A,0.5,0.6,0.2,0.4,0.5,5.1,5.9,5,1,1.1,1.4,0.5,0.4,0.6,1.8,2.7,2.9,2.7,1.9
Nova Scotia,output-3810031,327A,45.8,29.1,32.9,50.2,55.8,57.2,38,44.4,42.8,23.1,23,24.5,24.5,23.9,23.4,24.8,24,26.6,26.7
New Brunswick,output-3810031,327A,106.6,118.9,114.8,127,133.1,136.4,148.7,132.7,133.2,133.3,143.6,124.7,95.6,98.1,86.9,95.3,120.3,128.6,134.4
Quebec,output-3810031,327A,1020.6,1054.3,1126.8,1155.7,1230.6,1358.4,1484.4,1464.7,1455.4,1438.4,1433,1290.9,1269.1,1270.7,1357.5,1409,1406.4,1478.3,1501.6
Ontario,output-3810031,327A,2482.8,2708.8,2585.7,2764.4,2914.5,3011.9,3130.7,3067,2960.2,2930.8,2984.7,2794.5,2321.1,2424.4,2381.5,2460.7,2691.1,2886.3,2958.4
Manitoba,output-3810031,327A,55.7,63.8,74.8,66.2,62.2,68.2,74.8,82.6,82.7,70.9,66,57.8,64.4,81.8,69.5,80.7,88.7,86.3,92.6
Saskatchewan,output-3810031,327A,14.1,12.8,15.2,24.2,22.7,14.8,16.4,20,19.7,21.9,25.4,23.6,25.1,33.2,28.4,35.7,34.7,29.7,32.5
Alberta,output-3810031,327A,330.4,373.7,387.5,460.9,448.8,489.2,507.3,540.2,576.2,628.3,709.9,682.1,610.8,612.7,575.6,595.8,644.3,693.4,755.3
British Columbia,output-3810031,327A,365.8,384.1,371.4,486.9,482.4,491.1,517.1,551.5,558.7,620.8,673.7,598.9,482.4,488,469.2,429.3,452.3,513.9,544.2
Yukon,output-3810031,327A,0,0,0,0,0,0,0.1,0.4,0.1,0,0,0.3,0,0,0,0,0.1,0.1,0.1
Northwest Territories,output-3810031,327A,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.4
