sector_cd,PRODUCT,ProductCode,sector_cd_new
MCHEMB,"Ammonia and chemical fertilizers (x 1,000)",MPG325301,MCHEMI
MCHEMB,"Architectural, engineering and related services (x 1,000)",MPS541300,MCHEMI
MCHEMB,"Basic organic chemicals, n.e.c. (x 1,000)",MPG325105,MCHEMI
MCHEMB,"Boilers, tanks and heavy gauge metal containers (x 1,000)",MPG332402,MCHEMI
MCHEMB,"Business support services (x 1,000)",MPS561400,MCHEMI
MCHEMB,"Chemical products, n.e.c. (x 1,000)",MPG325900,MCHEMI
MCHEMB,"Commercial and industrial machinery and equipment (except office equipment) rental and leasing services (x 1,000)",MPS532A03,MCHEMI
MCHEMB,"Custom work manufacturing services (except printing, finishing textiles and metals) (x 1,000)",MPS3X0000,MCHEMI
MCHEMB,"Diesel and biodiesel fuels (x 1,000)",ENE324112,MCHEMI
MCHEMB,"Dyes and pigments (x 1,000)",MPG325103,MCHEMD
MCHEMB,"Electricity (x 1,000)",ENE221100,MCHEMI
MCHEMB,"Flour and other grain mill products (x 1,000)",MPG311204,MCHEMI
MCHEMB,"Gasoline (x 1,000)",ENE324111,MCHEMI
MCHEMB,"Grain and oilseed products, n.e.c. (x 1,000)",MPG311208,MCHEMI
MCHEMB,"Head office services (imputed) (x 1,000)",IMS551002,MCHEMI
MCHEMB,"Industrial gases (x 1,000)",MPG325102,MCHEMG
MCHEMB,"Licensing of rights to non-financial produced intangible assets (except software and other copyright licensing) (x 1,000)",MPS533000,MCHEMI
MCHEMB,"Logging, mining and construction machinery and equipment (x 1,000)",MPG333102,MCHEMI
MCHEMB,"Lubricants and other petroleum refinery products (x 1,000)",MPG3241A8,MCHEMI
MCHEMB,"Management, scientific and technical consulting services (x 1,000)",MPS541600,MCHEMI
MCHEMB,"Motor vehicle rental and leasing services (x 1,000)",MPS532100,MCHEMI
MCHEMB,"Natural gas liquids and related products (x 1,000)",ENE211103,MCHEMI
MCHEMB,"Non-metallic mineral products, n.e.c. (x 1,000)",MPG327A09,MCHEMI
MCHEMB,"Office administrative services (x 1,000)",MPS561100,MCHEMI
MCHEMB,"Other basic inorganic chemicals (x 1,000)",MPG325106,MCHEMI
MCHEMB,"Other industry-specific machinery (x 1,000)",MPG333200,MCHEMI
MCHEMB,"Own-account research and development (except software development) (x 1,000)",IMS541702,MCHEMI
MCHEMB,"Own-account software design and development services (x 1,000)",IMS541502,MCHEMI
MCHEMB,"Paints, coatings and adhesive products (x 1,000)",MPG325500,MCHEMI
MCHEMB,"Petrochemicals (x 1,000)",MPG325101,MCHEMP
MCHEMB,"Pharmaceutical and medicinal products (x 1,000)",MPG325400,MCHEMI
MCHEMB,"Plastic resins (x 1,000)",MPG325201,MCHEMI
MCHEMB,"Rental of non-residential real estate (x 1,000)",MPS531102,MCHEMI
MCHEMB,"Repair and maintenance services (except for buildings and motor vehicles) (x 1,000)",MPS811A00,MCHEMI
MCHEMB,"Rooming and boarding services (x 1,000)",MPS721A02,MCHEMI
MCHEMB,"Soaps and cleaning compounds (x 1,000)",MPG325601,MCHEMI
MCHEMB,"Wholesale margins - miscellaneous products (x 1,000)",MPS418000,MCHEMI
MCHEMB,"Wholesale trade commissions (x 1,000)",MPS410002,MCHEMI
MCHEMB,"Basic and semi-finished products of aluminum and alloys (x 1,000)",MPG331303,MCHEMI
MCHEMB,"Perfumes and toiletries (x 1,000)",MPG325602,MCHEMI
MCHEMB,"Prepared meals (x 1,000)",MPS722001,MCHEMI
MCHEMB,"Truck transportation services for general freight (x 1,000)",MPS484004,MCHEMI
MCHEMB,"Non-metallic minerals (except diamonds) (x 1,000)",MPG21239C,MCHEMI
MCHEMB,"Contract printing services for publishers (x 1,000)",MPS323003,MCHEMI
MCHEMB,"Textile and fabric finishing and coating services (x 1,000)",MPS31A006,MCHEMI
MCHEMB,"Asphalt (except natural) and asphalt products (x 1,000)",MPG3241A1,MCHEMI
MCHEMB,"Basic and semi-finished products of non-ferrous metals and alloys (except aluminum) (x 1,000)",MPG331406,MCHEMI
MCHEMB,"Heavy fuel oils (x 1,000)",ENE324115,MCHEMI
MCHEMB,"Jet fuel (x 1,000)",ENE324114,MCHEMI
MCHEMB,"Other animal feed (x 1,000)",MPG311109,MCHEMI
MCHEMB,"Other miscellaneous manufactured products (x 1,000)",MPG339909,MCHEMI
MCHEMB,"Steam and heated or cooled air or water (x 1,000)",ENE221303,MCHEMI
MCHEMB,"Solid fuel products, n.e.c. (x 1,000)",ENE32A000,MCHEMI
MCHEMB,"Other food products, n.e.c. (x 1,000)",MPG311909,MCHEMI
MMETA,"Architectural, engineering and related services (x 1,000)",MPS541300,MMETAO
MMETA,"Basic and semi-finished products of aluminum and alloys (x 1,000)",MPG331303,MMETAP
