Vector,Aggregation
V17735,sum
V730416,sum
V730417,sum
V730418,sum
V730424,sum
V730425,sum
V730426,sum
V732318,sum
V732319,sum
V732320,sum
V732326,sum
V732327,sum
V732328,sum
V31185329,avg
V79310437,avg
V79310651,avg
V79310755,avg
V107645719,avg
V107792876,avg
V107792877,avg
V107792897,avg
V107792898,avg
V107792900,avg
V107792901,avg
V107792903,avg
V107792904,avg
V107792906,avg
V107792907,avg
V108846364,avg
V18111,sum
V730419,sum
V730420,sum
V730421,sum
V730422,sum
V730423,sum
V732319,sum
V732321,sum
V732322,sum
V732323,sum
V732324,sum
V732325,sum
V107792880,avg
V107792882,avg
V107792883,avg
V107792885,avg
V107792886,avg
V107792888,avg
V107792889,avg
V107792891,avg
V107792892,avg
V15,avg
V2094196,avg
V32211675,Sum
V32211673,Sum
V32211670,Sum
V32211667,Sum
V32211669,Sum
V32211672,Sum
V32211668,Sum
V32211671,Sum
V32211674,Sum
V32211678,Sum
V32211679,Sum
V32211676,Sum
V807466,Sum
V52354531,EOP
V52354524,EOP
V52354525,EOP
V52354527,EOP
V52354531,EOP
V41692327,avg
V41692457,avg
V41692458,avg
V41692452,avg
V1996498,Sum
V42184,Sum
V111955541,avg
V3,avg
V2096716,avg
V32211688,Sum
V32211686,Sum
V32211683,Sum
V32211680,Sum
V32211682,Sum
V32211685,Sum
V32211681,Sum
V32211684,Sum
V32211687,Sum
V32211691,Sum
V32211692,Sum
V32211689,Sum
V807928,Sum
V52354560,EOP
V52354560,EOP
V41692462,avg
V41692593,avg
V41692594,avg
V41692588,avg
V1996501,Sum
V42187,Sum
V111955550,avg
V13,avg
V2096086,avg
V32211648,Sum
V32211649,Sum
V32211644,Sum
V32211641,Sum
V32211643,Sum
V32211646,Sum
V32211642,Sum
V32211645,Sum
V32211647,Sum
V32211652,Sum
V32211653,Sum
V32211650,Sum
V806546,Sum
V52354452,EOP
V52354452,EOP
V41692055,avg
V41692186,avg
V41692187,avg
V41692181,avg
V1996492,Sum
V42178,Sum
V111955526,avg
V10,avg
V2093566,avg
V32211609,Sum
V32211610,Sum
V32211607,Sum
V32211602,Sum
V32211604,Sum
V32211606,Sum
V32211603,Sum
V32211605,Sum
V32211608,Sum
V32211613,Sum
V32211614,Sum
V32211611,Sum
V805166,Sum
V52354344,EOP
V52354344,EOP
V41691648,avg
V41691778,avg
V41691779,avg
V41691773,avg
V1996483,Sum
V42175,Sum
V111955466,avg
V2,avg
V2091667,avg
V32211570,Sum
V32211571,Sum
V32211568,Sum
V32211565,Sum
V32211564,Sum
V32211567,Sum
V32211563,Sum
V32211566,Sum
V32211569,Sum
V32211574,Sum
V32211575,Sum
V32211572,Sum
V803786,Sum
V52354236,EOP
V52354236,EOP
V41691244,avg
V41691374,avg
V41691375,avg
V41691369,avg
V1996474,Sum
V42160,Sum
V111955448,avg
V9,avg
V2092936,avg
V32211596,Sum
V32211597,Sum
V32211594,Sum
V32211591,Sum
V32211589,Sum
V32211593,Sum
V32211590,Sum
V32211592,Sum
V32211595,Sum
V32211600,Sum
V32211601,Sum
V32211598,Sum
V804706,Sum
V52354308,EOP
V52354308,EOP
V41691513,avg
V41691643,avg
V41691644,avg
V41691638,avg
V1996480,Sum
V42172,Sum
V111955460,avg
V12,avg
V2092306,avg
V32211635,Sum
V32211636,Sum
V32211633,Sum
V32211631,Sum
V32211628,Sum
V32211630,Sum
V32211629,Sum
V32211632,Sum
V32211634,Sum
V32211639,Sum
V32211640,Sum
V32211637,Sum
V806086,Sum
V52354416,EOP
V52354416,EOP
V41691919,avg
V41692050,avg
V41692051,avg
V41692045,avg
V1996489,Sum
V42067,Sum
V111955490,avg
V8,avg
V2095456,avg
V32211583,Sum
V32211584,Sum
V32211581,Sum
V32211578,Sum
V32211576,Sum
V32211577,Sum
V32211580,Sum
V32211579,Sum
V32211582,Sum
V32211587,Sum
V32211588,Sum
V32211585,Sum
V804246,Sum
V52354273,EOP
V52354273,EOP
V41691379,avg
V41691508,avg
V41691509,avg
V41691503,avg
V1996477,Sum
V42169,Sum
V111955454,avg
V11,avg
V2094826,avg
V32211622,Sum
V32211623,Sum
V32211620,Sum
V32211618,Sum
V32211615,Sum
V32211617,Sum
V32211619,Sum
V32211616,Sum
V32211621,Sum
V32211626,Sum
V32211627,Sum
V32211624,Sum
V805626,Sum
V52354380,EOP
V52354380,EOP
V41691783,avg
V41691914,avg
V41691915,avg
V41691909,avg
V1996486,Sum
V42262,Sum
V111955472,avg
V14,avg
V2097396,avg
V32211661,Sum
V32211662,Sum
V32211660,Sum
V32211657,Sum
V32211654,Sum
V32211656,Sum
V32211659,Sum
V32211655,Sum
V32211658,Sum
V32211665,Sum
V32211666,Sum
V32211663,Sum
V807006,Sum
V52354488,EOP
V52354488,EOP
V41692191,avg
V41692322,avg
V41692323,avg
V41692317,avg
V1996495,Sum
V42181,Sum
V111955532,avg
V6,avg
V32211725,Sum
V32211726,Sum
V32211723,Sum
V32211720,Sum
V32211717,Sum
V32211719,Sum
V32211722,Sum
V32211718,Sum
V32211721,Sum
V32211724,Sum
V32211728,Sum
V32211727,Sum
V52354704,EOP
V52354704,EOP
V41692722,avg
V41692841,avg
V41692842,avg
V41692836,avg
V1996775,Sum
V7,avg
V32211737,Sum
V32211738,Sum
V32211735,Sum
V32211732,Sum
V32211729,Sum
V32211731,Sum
V32211734,Sum
V32211730,Sum
V32211733,Sum
V32211736,Sum
V32211740,Sum
V32211739,Sum
V52354740,EOP
V52354740,EOP
V41713432,avg
V1996778,Sum
V7,avg
V32211701,Sum
V32211702,Sum
V32211699,Sum
V32211696,Sum
V32211693,Sum
V32211695,Sum
V32211698,Sum
V32211694,Sum
V32211697,Sum
V32211700,Sum
V32211704,Sum
V32211705,Sum
V808387,Sum
V52354632,EOP
V52354632,EOP
V41692598,avg
V41692717,avg
V41692718,avg
V41692712,avg
V1996504,Sum
V1,avg
V29850342,Sum
V79310246,avg
V111955442,avg
V65201210,avg
V65201219,avg
V65201309,avg
V65201310,avg
V65201311,avg
V65201312,avg
V65201313,avg
V65201322,avg
V65201330,avg
V65201336,avg
V65201341,avg
V65201351,avg
V65201355,avg
V65201358,avg
V65201368,avg
V65201381,avg
V65201382,avg
V65201383,avg
V65201384,avg
V65201385,avg
V65201386,avg
V65201390,avg
V65201391,avg
V65201392,avg
V65201393,avg
V65201394,avg
V65201395,avg
V65201396,avg
V65201397,avg
V65201407,avg
V65201229,avg
V65201419,avg
V65201231,avg
V65201429,avg
V65201232,avg
V65201441,avg
V65201442,avg
V65201233,avg
V65201452,avg
V65201457,avg
V65201234,avg
V65201463,avg
V65201468,avg
V65201235,avg
V65201471,avg
V65201476,avg
V65201236,avg
V65201237,avg
V65201212,avg
V65201240,avg
V65201241,avg
V65201242,avg
V65201243,avg
V65201244,avg
V65201245,avg
V65201246,avg
V65201247,avg
V65201253,avg
V65201254,avg
V65201255,avg
V65201256,avg
V65201257,avg
V65201258,avg
V65201263,avg
V65201264,avg
V65201274,avg
V62425550,avg
V65201280,avg
V65201281,avg
V65201282,avg
V65201286,avg
V65201287,avg
V65201288,avg
V65201289,avg
V65201290,avg
V65201291,avg
V65201293,avg
V65201294,avg
V65201296,avg
V65201297,avg
V65201301,avg
V65201304,avg
V65201305,avg
V65201307,avg
V65201308,avg
V52368145,EOP
V800450,Sum
V65201483,avg
V65201582,avg
V65201583,avg
V65201584,avg
V65201585,avg
V65201586,avg
V65201595,avg
V65201603,avg
V65201609,avg
V65201614,avg
V65201624,avg
V65201628,avg
V65201631,avg
V65201641,avg
V65201654,avg
V65201655,avg
V65201656,avg
V65201657,avg
V65201658,avg
V65201663,avg
V65201664,avg
V65201665,avg
