"variable","varsymbol","pricesymbol"
"1","employment","EMP",""
"2","gross output (x 1,000,000)","GY","!"
"3","investment - current prices (x 1,000,000)","IF","!"
"4","investment, constr - current prices (x 1,000,000)","IFC","!"
"5","investment, ip - current prices (x 1,000,000)","IFIP","!"
"6","investment, mach - current prices (x 1,000,000)","IFME","!"
"7","price index","P",""
"8","capital depreciation - chained prices (x 1,000,000)","",""
"9","capital stock - chained prices (x 1,000,000)","K",""
"10","depreciation, constr - chained prices (x 1,000,000)","DELTAC",""
"11","depreciation, ip - chained prices (x 1,000,000)","DELTAIP",""
"12","depreciation, mach - chained prices (x 1,000,000)","DELTAME",""
"13","gross output - constant prices (x 1,000,000)","GY",""
"14","gva - chained prices (x 1,000,000)","Y",""
"15","gva - current prices (x 1,000,000)","Y","!"
"16","investment - chained prices (x 1,000,000)","IF",""
"17","investment, constr - chained prices (x 1,000,000)","IFC",""
"18","investment, ip - chained prices (x 1,000,000)","IFIP",""
"19","investment, mach - chained prices (x 1,000,000)","IFME",""
"20","stock, constr - chained prices (x 1,000,000)","KC",""
"21","stock, ip - chained prices (x 1,000,000)","KIP",""
"22","stock, mach - chained prices (x 1,000,000)","KME",""
"23","wages","ER",""
"24","crude oil and equivalent-total crude production-1260001","OIL",""
"25","crude oil and equivalent-total exports-1260001","XOIL",""
"26","crude oil and equivalent-imports-1260001","MOIL",""
"27","building permits-0260006","HPT",""
"28","housing starts-0270008","HSTART",""
"29","housing completions-0270008","HCOMP",""
"30","sales of goods manufactured (shipments)-3040014","MANSHIP",""
"31","sales of goods manufactured (shipments)-3040015","MANSHIP",""
"32","wages-wages and salaries-3820006","",""
"33","immigrants-0510037","MIGIN",""
"34","emigrants-0510037","MIGOUT",""
"35","estimates of interprovincial migrants by province or territory of origin and destination-prince edward island, province of destination-0510045","POPMIG_PE",""
"36","estimates of interprovincial migrants by province or territory of origin and destination-nova scotia, province of destination-0510045","POPMIG_NS",""
"37","estimates of interprovincial migrants by province or territory of origin and destination-new brunswick, province of destination-0510045","POPMIG_NB",""
"38","estimates of interprovincial migrants by province or territory of origin and destination-quebec, province of destination-0510045","POPMIG_QC",""
"39","estimates of interprovincial migrants by province or territory of origin and destination-ontario, province of destination-0510045","POPMIG_ON",""
"40","estimates of interprovincial migrants by province or territory of origin and destination-manitoba, province of destination-0510045","POPMIG_MA",""
"41","estimates of interprovincial migrants by province or territory of origin and destination-saskatchewan, province of destination-0510045","POPMIG_SK",""
"42","estimates of interprovincial migrants by province or territory of origin and destination-alberta, province of destination-0510045","POPMIG_AB",""
"43","estimates of interprovincial migrants by province or territory of origin and destination-british columbia, province of destination-0510045","POPMIG_BC",""
"44","estimates of interprovincial migrants by province or territory of origin and destination-yukon, province of destination-0510045","POPMIG_YK",""
"45","estimates of interprovincial migrants by province or territory of origin and destination-northwest territories, province of destination-0510045","POPMIG_NT",""
"46","estimates of interprovincial migrants by province or territory of origin and destination-nunavut, province of destination-0510045","POPMIG_NU",""
"47","estimates of interprovincial migrants by province or territory of origin and destination-newfoundland and labrador, province of destination-0510045","POPMIG_NL",""
"48","exports of goods-3800064-current prices","XG!",""
